优雅的雪茄形外观和古典内饰，依然保留着浓郁的英国绅士风。,"{""brand"": '名爵', ""model"": ""MG7"", ""year"": ""2010款 1.8T 自动加长舒适版"",""price"":""21.48万"",""rating"":""优点""}"
上海汽车南京工厂糟糕的钣金工艺和部分配件质量，导致前保险杠接缝大，小毛病不少。,"{""brand"": '名爵', ""model"": ""MG7"", ""year"": ""2010款 1.8T 自动加长舒适版"",""price"":""21.48万"",""rating"":""缺点""}"
很优雅拉风，不输豪车，很有品位和面子。,"{""brand"": '名爵', ""model"": ""MG7"", ""year"": ""2010款 1.8T 自动加长舒适版"",""price"":""21.48万"",""rating"":""外观""}"
动力不错，油门感应非常灵敏，提速有推背感非常好,"{""brand"": '名爵', ""model"": ""MG7"", ""year"": ""2010款 1.8T 自动精英版"",""price"":""18.78万"",""rating"":""优点""}"
内饰风格可以改进一下，虽然有英国风格，但是年轻人就不是那么给力了,"{""brand"": '名爵', ""model"": ""MG7"", ""year"": ""2010款 1.8T 自动精英版"",""price"":""18.78万"",""rating"":""缺点""}"
外观非常好看大气，很有英国气质，稳重大方。,"{""brand"": '名爵', ""model"": ""MG7"", ""year"": ""2010款 1.8T 自动精英版"",""price"":""18.78万"",""rating"":""外观""}"
用料实在，看着就皮实。,"{""brand"": '名爵', ""model"": ""MG7"", ""year"": ""2010款 1.8T 自动舒适版"",""price"":""16.88万"",""rating"":""优点""}"
上汽、南汽看来已经放弃了对7系的进一步探索，完全没有像解决7系上多个“顽症”的意思啊。小毛病不断啊！,"{""brand"": '名爵', ""model"": ""MG7"", ""year"": ""2010款 1.8T 自动舒适版"",""price"":""16.88万"",""rating"":""缺点""}"
依旧是延续英国时期的设计，最看好的一点，设计复古，钢板，轮胎用料都很实在的说。,"{""brand"": '名爵', ""model"": ""MG7"", ""year"": ""2010款 1.8T 自动舒适版"",""price"":""16.88万"",""rating"":""外观""}"
外观，复古英伦范儿。,"{""brand"": '名爵', ""model"": ""MG7"", ""year"": ""2010款 1.8T 自动舒适版"",""price"":""16.88万"",""rating"":""优点""}"
没有,"{""brand"": '名爵', ""model"": ""MG7"", ""year"": ""2010款 1.8T 自动舒适版"",""price"":""16.88万"",""rating"":""缺点""}"
就是应为这个外观才买这个车。,"{""brand"": '名爵', ""model"": ""MG7"", ""year"": ""2010款 1.8T 自动舒适版"",""price"":""16.88万"",""rating"":""外观""}"
